_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
1,A0496029,ZOEY,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2005-05-01,20 YEARS,2025-07-14,MED R,STRAY,OTC,,2025-08-07,RTO,,MED R,1ST ST AND ALMA,SAN JOSE,2025-08-07
2,A0624926,SHELLY,DOG,FAWN,WHITE,CAIRN TERRIER,SPAYED,2008-12-12,16 YEARS,2025-07-15,MED R,STRAY,OTC,,2025-07-15,RTO,,HEALTHY,FILAN WAY / FOWLER RD,SAN JOSE,2025-07-15
3,A0667926,DING DING,DOG,TRICOLOR,,MALTESE,FEMALE,2009-02-14,16 YEARS,2025-07-06,DEAD,DISPO REQ,OTC OWNED,,2025-07-06,DISPOSAL,,DEAD,,SAN JOSE,2025-07-06
4,A0701803,MALIBU,CAT,TABBY-BRN,WHITE,DOMESTIC MH,NEUTERED,2010-04-24,15 YEARS,2025-07-01,DEAD,DISPO REQ,OTC OWNED,,2025-07-01,DISPOSAL,,DEAD,,SAN JOSE,2025-07-01
5,A0713886,WAYNE,CAT,TABBY-RED,WHITE,DOMESTIC SH,NEUTERED,2010-07-17,15 YEARS,2025-07-19,DEAD,DISPO REQ,OTC OWNED,,2025-07-19,DISPOSAL,,DEAD,,SAN JOSE,2025-07-19
6,A0761209,BOLT,DOG,BLACK,TAN,CHIHUAHUA LH,MALE,2008-11-15,16 YEARS,2025-07-18,MED M,STRAY,OTC,,2025-07-19,RTO,,MED M,SAN FELIPE RD/FOWLER RD,SAN JOSE,2025-07-19
7,A0807591,REX,DOG,BROWN,TAN,MIN PINSCHER,NEUTERED,2009-10-16,15 YEARS,2025-07-22,HEALTHY,STRAY,OTC,,2025-08-06,RESCUE,,HEALTHY,BLOSSOM HILL X LEAN,SAN JOSE,2025-08-06
8,A0897062,TEDDY,DOG,WHITE,,BICHON FRISE,NEUTERED,2009-06-01,16 YEARS,2025-07-17,DEAD,DISPO REQ,OTC,,2025-07-17,DISPOSAL,,DEAD,SPRINGER WAY,SAN JOSE,2025-07-17
9,A0902448,GINGER,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2013-07-20,12 YEARS,2025-07-20,HEALTHY,OWNER SUR,OTC,,,,,,,SAN JOSE,2025-07-27
10,A0910236,CHOPPER,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2007-08-12,17 YEARS,2025-07-15,DEAD,DISPO REQ,,,2025-07-15,DISPOSAL,,DEAD,,SAN JOSE,2025-07-15
11,A0928377,BLANCO,DOG,CREAM,,CHIHUAHUA LH,NEUTERED,2014-07-03,11 YEARS,2025-07-12,MED R,STRAY,OTC,,2025-07-18,RTO,,MED R,FWY 101 // TULLY EXIT,SAN JOSE,2025-07-18
12,A0929793,KANDY,DOG,YELLOW,,POMERANIAN,SPAYED,,NO AGE,2025-07-17,DEAD,DISPO REQ,FIELD,,2025-07-17,DISPOSAL,,DEAD,LOCHNER,SAN JOSE,2025-07-17
13,A0954509,,CAT,TORBI-BRN,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-01,DEAD,DISPO REQ,FIELD,,2025-07-10,DISPOSAL,,DEAD,YOSEMITE DR / SEQUOIA,MILPITAS,2025-07-10
14,A0972658,SASHIMI,DOG,WHITE,,MALTESE,NEUTERED,2014-05-21,11 YEARS,2025-07-06,MED R,STRAY,FIELD,,2025-07-08,RTO,,MED R,ENDFIELD X HIGHWOOD,SAN JOSE,2025-07-08
15,A0980332,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-26,DEAD,DISPO REQ,OTC,,2025-07-26,DISPOSAL,,DEAD,HASSINGER RD,SAN JOSE,2025-07-26
16,A1001051,,CAT,WHITE,GRAY,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-11,MED SEV,STRAY,OTC,,2025-07-11,EUTH,,MED EMERG,LYNDALE AVE,SAN JOSE,2025-07-11
17,A1009878,,CAT,WHITE,TAN,DOMESTIC LH,NEUTERED,,NO AGE,2025-07-24,MED SEV,STRAY,FIELD,,2025-07-29,EUTH,,MED SEV,CONWAY ST/DIXON RD,MILPITAS,2025-07-29
18,A1028488,LADY,DOG,BLACK,WHITE,PIT BULL,SPAYED,,NO AGE,2025-07-17,MED EMERG,STRAY,OTC,,2025-07-17,EUTH,,MED EMERG,KING RD/OCALA AVE,SAN JOSE,2025-07-17
19,A1034436,ROXY,DOG,TRICOLOR,,CHIHUAHUA SH,SPAYED,2016-08-13,9 YEARS,2025-07-01,HEALTHY,STRAY,FOUND,,2025-07-02,RTO,,HEALTHY,CAMINO VERDE DR/SANTA TERESA BLVD,SAN JOSE,2025-07-20
20,A1034802,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-14,DEAD,DISPO REQ,OTC,,2025-07-14,DISPOSAL,,DEAD,QUIMBY RD/E CAPITOL EXPY,SAN JOSE,2025-07-14
21,A1037986,DUMP TRUCK,DOG,BLACK,WHITE,AM PIT BULL TER,NEUTERED,,NO AGE,2025-07-25,DEAD,DISPO REQ,OTC OWNED,,2025-07-25,DISPOSAL,,DEAD,,SAN JOSE,2025-07-25
22,A1065630,OZZY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2015-12-01,9 YEARS,2025-07-16,HEALTHY,STRAY,OTC,,2025-07-23,RESCUE,,HEALTHY,SENTER RD/SINGLETON RD,SAN JOSE,2025-07-23
23,A1069251,CHANO,CAT,PT-LILAC,,DOMESTIC SH,NEUTERED,2017-04-19,8 YEARS,2025-07-03,MED R,STRAY,OTC,IP ADOPT,2025-07-13,RTO,,MED R,STORY/KING,SAN JOSE,2025-07-13
24,A1074510,LILY,DOG,BLACK,TAN,YORKSHIRE TERR,SPAYED,2017-08-06,8 YEARS,2025-07-26,HEALTHY,STRAY,OTC,IP ADOPT,2025-07-27,RTO,,HEALTHY,YERBA BUENA/ SILVER CREEK,SAN JOSE,2025-07-27
